
Bogført;Tekst;Rentedato;Beløb;Saldo
Reserveret;Nordea Pay Lebara; ;-100,00;59564,98
28-09-2016;Nordea pay køb Foreningen StudenterDen 27.09 kl. 20.03;28-09-2016;-54,00;59664,98
28-09-2016;Nordea pay køb, . LoJos Social     Den 27.09 kl. 19.47;28-09-2016;-305,00;59718,98
27-09-2016;Nordea pay udbetaling DKK 200,00   Hokerboderne 6                     Den 25.09;27-09-2016;-200,00;60023,98
27-09-2016;Nordea pay køb, . Rest Jacobsen    Den 25.09 kl. 15.11;27-09-2016;-74,00;60223,98
27-09-2016;Nordea pay gebyr, notanr.;26-09-2016;-30,00;60297,98
26-09-2016;Nordea pay køb, . The Moose        Den 23.09 kl. 23.06;26-09-2016;-30,00;60327,98
22-09-2016;Nordea pay køb, . Fakta 374        Den 21.09 kl. 21.01;22-09-2016;-123,95;60357,98
22-09-2016;Nordea pay køb, . Fakta 374        Den 21.09 kl. 18.11;22-09-2016;-72,90;60481,93
21-09-2016;Nordea pay køb EUR 10,20           RYANAIR                            Den 17.09;21-09-2016;-77,34;60554,83

